query,intent,batch_id
not working USB cable need support,product_search,1
not sure but not working smartphone case,order_tracking,1
I received a Bluetooth speaker and it is defective,complaints,1
not sure but refund help,product_recommendation,1
not sure but USB cable issue,warranty_replacement,1
return wireless headphones urgent,delivery_issues,1
not sure but I want refund for wireless headphones because it is defective,account_issues,1
refund help urgent ??,order_tracking,1
I received a mouse and it is scratched ??,account_issues,1
microphone scratched,returns,1
"hello, refund request",product_comparison,1
I want refund for wireless headphones because it is wrong item pls help,product_search,1
delivery issue,order_modification,1
"not sure but My webcam is broken last week, can you help?",warranty_replacement,1
not sure but I want refund for Bluetooth speaker because it is missing parts,order_modification,1
not sure but Need help with my laptop charger - it is damaged,product_comparison,1
"hello, Need help with my smartphone case - it is wrong item",discounts_offers,1
"not sure but My microphone is missing parts 2 days ago, can you help? pls help",product_search,1
Need help with my USB cable - it is damaged need support,order_tracking,1
"My wireless headphones is scratched just now, can you help?",order_tracking,1
I want refund for monitor because it is not working pls help,returns,1
MOUSE?? help asap,product_recommendation,1
"hello, refund help",product_search,1
"My webcam is damaged 2 days ago, can you help? need support",complaints,1
I RECEIVED A WEBCAM AND IT IS DEFECTIVE!!!,refunds,1
"not sure but My microphone is missing parts today, can you help?",product_recommendation,1
Why is my smartphone case poor quality? urgent,order_modification,1
WHY IS MY MICROPHONE NOT WORKING???,refunds,1
not sure but not working laptop charger,order_cancellation,1
delivery issue urgent,account_issues,1
I want refund for USB cable because it is damaged,order_tracking,1
not sure but laptop charger issue !!!,order_modification,1
"hello, Why is my monitor defective?",delivery_issues,1
refund help,order_cancellation,1
RETURN LAPTOP CHARGER,order_tracking,1
I WANT REFUND FOR WIRELESS HEADPHONES BECAUSE IT IS SCRATCHED WTF,order_modification,1
order issue,product_search,1
ORDER ISSUE??,delivery_issues,1
Need help with my keyboard - it is poor quality ??,payment_issues,1
Why is my Bluetooth speaker missing parts?,returns,1
Why is my webcam wrong item?,order_modification,1
"hello, order issue",returns,1
"hello, delivery problem",account_issues,1
not sure but I received a wireless headphones and it is wrong item,product_comparison,1
"hello, Bluetooth speaker",product_search,1
"hello, My keyboard is damaged 2 days ago, can you help?",discounts_offers,1
Need help with my smartphone case - it is defective,complaints,1
"hello, delivery issue",warranty_replacement,1
Why is my mouse not working?,order_modification,1
I want refund for keyboard because it is defective,order_tracking,1
not sure but delivery issue,delivery_issues,1
"hello, I want refund for keyboard because it is missing parts urgent",delivery_issues,1
refund request need support,discounts_offers,1
Why is my USB cable scratched?,product_comparison,1
NEED HELP WITH MY KEYBOARD - IT IS WRONG ITEM!!!,delivery_issues,1
delivery issue pls help help asap,complaints,1
not working mouse,order_tracking,1
refund request,order_modification,1
Why is my monitor scratched? help asap,product_search,1
"hello, not working mouse",order_cancellation,1
I received a mouse and it is scratched,refunds,1
Why is my microphone scratched? need support,payment_issues,1
not sure but problem with order !!!,order_modification,1
"hello, I received a mouse and it is damaged",order_tracking,1
"hello, I want refund for mouse because it is poor quality",order_cancellation,1
monitor not working !!!,order_tracking,1
WHY IS MY WEBCAM WRONG ITEM???,complaints,1
refund request pls help,product_search,1
REFUND HELP!!!,refunds,1
Bluetooth speaker pls help,account_issues,1
