doc_id,conversation_id,turn_index,tweet_id,author_id,speaker_type,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,source
119237,119237,1,119237,105834,customer,True,2017-10-11 06:55:44+00:00,causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,119236,,twitter_support
119239,119239,1,119239,105835,customer,True,2017-10-11 13:00:09+00:00,I really hope you all change but I'm sure you won't! Because you don't have to!,119238,,twitter_support
119238,119239,2,119238,ChaseSupport,support,False,2017-10-11 13:25:49+00:00,"Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR",,119239,twitter_support
119246,119247,1,119246,VirginTrains,support,False,2017-10-10 10:13:19+00:00,That's what we're here for Miriam 😊 The team should send you an email shortly ^HP,119242,119247,twitter_support
119242,119247,2,119242,105836,customer,True,2017-10-10 15:09:00+00:00,I still haven't heard & the number I'm directed to by phone is a dead end & the live chat doesn't work. Can someone call me?,119240,119246,twitter_support
119240,119247,3,119240,VirginTrains,support,False,2017-10-10 15:16:08+00:00,"LiveChat is online at the moment - or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",119241,119242,twitter_support
119241,119247,4,119241,105836,customer,True,2017-10-10 15:17:21+00:00,see attached error message. I've tried leaving a voicemail several times in the past week,119243,119240,twitter_support
119243,119247,5,119243,VirginTrains,support,False,2017-10-10 15:25:14+00:00,"Have you tried from another device, Miriam ^MM",119244,119241,twitter_support
119244,119247,6,119244,105836,customer,True,2017-10-10 15:26:44+00:00,"yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",119245,119243,twitter_support
119245,119247,7,119245,VirginTrains,support,False,2017-10-10 15:33:22+00:00,"It's working OK from here, Miriam. Does this link help ? ^MM",,119244,twitter_support
119250,119250,1,119250,105838,customer,True,2017-10-11 05:33:17+00:00,"hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?","119249,119251",,twitter_support
119249,119250,2,119249,105837,customer,True,2017-10-11 07:37:27+00:00,"Me too am suffering , hope the can find a solution",119248,119250,twitter_support
119248,119250,3,119248,AppleSupport,support,False,2017-10-11 13:38:29+00:00,We can help. Which version of iOS are you on? You can find that in Settings > General > About. Reply in DM.,,119249,twitter_support
