query,intent,all_intents,persona,batch_id
I am looking for the USB cable. Waiting for your prompt response. pls help,product_search,product_search,frustrated,1
Let me know ASAP!,product_search,product_search,impatient,1
"Regarding the laptop charger I got last week, it is scratched and I need to terrible service it. help asap",complaints,complaints,neutral,1
"Not entirely sure how this works.
Can you help with my Bluetooth speaker? It's damaged and I am looking to card declined.
Can you also help me modify my oder for a different issue.
What should my next step be?",payment_issues,"payment_issues, order_modification",confused,1
Can you help with my wireless headphones? It's scratched and I am looking to delayed shipment and where is my. urgent,delivery_issues,"delivery_issues, order_tracking",neutral,1
Can you help with my laptop charger? It's missing parts and I am looking to recommendation for. Can you also help me payment failed at checkout for a different issue. Please resolve this immediately.,product_recommendation,"product_recommendation, payment_issues",frustrated,1
Can you help with my monitor? It's scratched and I am looking to find a.,product_search,product_search,neutral,1
Can you help with my USB cable? It's defective and I am looking to reimburse me for. Can you also help me better choice compared to for a different issue. Let me know ASAP!,refunds,"refunds, product_comparison",frustrated,1
"UNBELIEVABLE SERVICE.
MY WIRELESS HEADPHONES IS BROKEN. HOW DO I HANDLE GET MONEY BACK?
WAITING FOR YOUR PROMPT RESPONSE.",refunds,refunds,angry,1
Please resolve this immediately.,warranty_replacement,warranty_replacement,impatient,1
"Hey, I need some clarity. Regarding the USB cable I got yesterday, it is defective and I need to apply coupon it. Can you walk me through this step by step?",discounts_offers,discounts_offers,confused,1
"Hi there!
Can you help with my microphone? It's poor quality and I am looking to replace broken item.
Also, find a for a different issue.
Thank you for your assistance. help asap",warranty_replacement,"warranty_replacement, product_search",polite,1
Can you also help me very disappointed for a different issue.,warranty_replacement,"warranty_replacement, complaints",impatient,1
"Hello, hope you are doing well.
My smartphone case is wrong item. How do I handle any active discounts?
Thank you for your assistance. urgent",discounts_offers,discounts_offers,polite,1
"This is unacceptable.
I am card declined the smartphone case.
Let me know ASAP!",payment_issues,payment_issues,angry,1
"Regarding the microphone I got just now, it is damaged and I need to apply coupon it.
Please resolve this immediately.",discounts_offers,discounts_offers,frustrated,1
"UNBELIEVABLE SERVICE.
I AM DELIVERED TO WRONG HOUSE THE BLUETOOTH SPEAKER.
PLEASE RESOLVE THIS IMMEDIATELY.",delivery_issues,delivery_issues,angry,1
"I am completely lost.
I am has it shipped yet the wireless headphones.
Can you walk me through this step by step? help asap",order_tracking,order_tracking,confused,1
"Hello, hope you are doing well. My keyboard is broken. How do I handle searching for? Can you also help me better choice compared to for a different issue. Have a great day. urgent",product_search,"product_search, product_comparison",polite,1
Waiting for your prompt response.,discounts_offers,discounts_offers,impatient,1
"Regarding the webcam I got yesterday, it is not working and I need to looking for it.
Let me know ASAP!",product_search,product_search,frustrated,1
Good day. Can you help with my microphone? It's not working and I am looking to searching for. Thank you for your assistance. help asap,product_search,product_search,polite,1
"Unbelievable service.
I am reimburse me for the monitor.
Please resolve this immediately. urgent",refunds,refunds,angry,1
"Hey, I need some clarity.
I am don't want this anymore the laptop charger.
Can you also help me modify my oder for a different isue.
What should my next step be?",order_cancellation,"order_cancellation, order_modification",confused,1
This is unacceptable. Can you help with my USB cable? It's broken and I am looking to return policy for. Please resolve this immediately.,returns,returns,angry,1
"Regarding the laptop charger I got today, it is broken and I need to any active discounts it. urgent",discounts_offers,discounts_offers,neutral,1
Can you also help me searching for for a different issue.,delivery_issues,"delivery_issues, product_search",impatient,1
"Unbelievable service.
My laptop charger is scratched. How do I handle track status of?
Another thing, I also need to better choice compared to for a different issue.
Let me know ASAP!",order_tracking,"order_tracking, product_comparison",angry,1
I am package stolen the mouse.,delivery_issues,delivery_issues,neutral,1
Please resolve this immediately. urgent,complaints,complaints,impatient,1
"I am update items in the wireless headphones.
Can you also help me do you carry for a different issue.",order_modification,"order_modification, product_search",neutral,1
